brand,model,ram_gb,storage_gb,condition,battery_health,age_years,original_price,resale_price
Samsung,Galaxy A55 5G,8,256,Like New,61,2,39999,17567
Oppo,OPPO A58 5G,6,128,Fair,69,1,13999,5216
OnePlus,OnePlus Nord N30 SE 5G,4,128,Like New,69,1,13999,7824
Redmi,POCO X5 Pro 5G,6,128,Fair,87,3,20999,7673
Realme,Realme Narzo 60x 5G,6,128,Fair,82,1,12999,5755
Vivo,Vivo Y18,4,64,Poor,66,3,8999,1870
Motorola,Motorola G24,4,128,Good,96,3,8499,4283
Realme,Realme Narzo 20,4,64,Good,90,2,10499,5669
Realme,Realme 11x 5G,6,128,Good,78,1,12999,6843
Realme,Realme 11x 5G,6,128,Fair,76,3,12999,4149
Vivo,Vivo X100 Pro 5G,16,512,Fair,59,1,89999,28673
Oppo,OPPO A18,4,64,Fair,60,1,8999,2915
Motorola,Motorola G73 5G,8,128,Fair,79,3,16999,5640
Motorola,Motorola Edge 50 Fusion,8,128,Good,84,3,22999,10142
Samsung,Galaxy Z Flip 5,8,256,Poor,56,4,89999,13607
Apple,iPhone 14 (256GB),6,256,Like New,55,4,79999,23759
iQOO,iQOO Z9 5G,8,128,Poor,66,1,19999,5345
Apple,iPhone 15 Pro Max,8,256,Fair,59,1,159900,50944
OnePlus,OnePlus Nord N30 SE 5G,4,128,Fair,62,4,13999,3124
Oppo,OPPO A18,4,64,Like New,68,1,8999,4956
Apple,iPhone 14 Pro,6,128,Like New,89,1,117999,85065
Infinix,GT 20 Pro,8,256,Like New,85,1,24999,17211
Vivo,Vivo Y18,4,64,Fair,92,4,8999,2980
Motorola,Motorola G32,4,64,Like New,59,4,9999,3185
Samsung,Galaxy Z Flip 5,8,256,Good,52,3,89999,24569
Apple,iPhone 13 (256GB),4,256,Fair,97,1,69900,36613
Infinix,Hot 40i,8,128,Like New,99,1,8499,6815
Vivo,Vivo V29 5G,8,128,Like New,96,4,31999,16588
Samsung,Galaxy M55 5G,8,128,Poor,54,1,26999,5904
Vivo,Vivo Y18,4,64,Good,92,3,8999,4346
Oppo,OPPO Reno 11 Pro 5G,12,256,Fair,75,3,39999,12599
Motorola,Motorola G14,4,128,Poor,83,2,8499,2539
Samsung,Galaxy A23 5G,6,128,Like New,100,2,18999,13679
Samsung,Galaxy S24,8,256,Like New,63,1,79999,40823
Oppo,OPPO A17k,3,64,Poor,69,3,7999,1738
Realme,Realme 11x 5G,6,128,Fair,91,2,12999,5677
Samsung,Galaxy S23 FE,8,128,Poor,58,4,44999,7046
Samsung,Galaxy A14 5G,6,128,Like New,93,2,13499,9038
Samsung,Galaxy A35 5G,8,128,Like New,99,4,27999,14968
OnePlus,OnePlus Nord CE 3 5G,8,128,Good,94,4,26999,11420
Oppo,OPPO A77s,6,128,Poor,79,2,12499,3554
Infinix,Note 40 Pro 5G,8,256,Poor,56,1,21999,4989
iQOO,iQOO Z9 5G,8,128,Fair,77,3,19999,6467
Samsung,Galaxy M14 5G,6,128,Like New,55,1,12499,5568
Oppo,OPPO A17,4,64,Like New,85,4,9999,4589
Apple,iPhone 13 Mini,4,128,Poor,76,3,52999,12687
Realme,Realme C51,4,64,Like New,65,1,7999,4211
Samsung,Galaxy S24+,12,256,Like New,63,4,99999,34019
OnePlus,OnePlus Nord 3 5G,8,128,Good,64,2,30999,11903
Redmi,Xiaomi 14 Ultra,12,512,Like New,54,3,99999,34019
Redmi,Redmi Note 13 Pro 5G,8,128,Like New,68,4,25999,9546
Apple,iPhone 13 Mini,4,128,Like New,92,1,52999,39494
Motorola,Motorola E13,2,64,Like New,59,3,6499,2415
Oppo,OPPO A17k,3,64,Good,84,4,7999,3023
Oppo,OPPO K10 5G,8,128,Poor,64,1,14999,3887
Realme,Realme Narzo 50,6,128,Like New,88,1,11999,8552
Realme,Realme Narzo 10,4,128,Fair,68,1,9999,3671
Samsung,Galaxy A35 5G,8,128,Like New,59,2,27999,11893
iQOO,iQOO Z7 Pro 5G,8,128,Like New,98,2,23999,16933
iQOO,iQOO 12 5G,12,256,Like New,96,1,52999,41212
Oppo,OPPO A17,4,64,Good,78,1,9999,5264
Oppo,OPPO A18,4,64,Like New,86,3,8999,4875
Apple,iPhone 14 Pro Max (1TB),6,1024,Good,50,2,169900,50970
iQOO,iQOO Z7 Pro 5G,8,128,Poor,85,3,23999,6425
iQOO,iQOO Neo 9 Pro,8,128,Fair,85,3,35999,12851
OnePlus,OnePlus 11 5G,8,128,Good,54,2,56999,18467
iQOO,iQOO 12 5G,12,256,Poor,97,2,52999,18507
iQOO,iQOO Z9 5G,8,128,Good,87,1,19999,11744
Vivo,Vivo V30 5G,8,128,Poor,93,2,33999,11382
Redmi,Redmi Note 13 Pro+ 5G,8,256,Good,52,2,31999,9983
Vivo,Vivo V30 5G,8,128,Poor,85,4,33999,7802
iQOO,iQOO Z9x 5G,4,128,Poor,75,1,12999,3948
Motorola,Motorola Edge 40 Neo,8,128,Poor,84,1,20999,7143
